transaction_date,amount,merchant_category,is_flagged
2026-08-06,128.86,Dining,0
2026-08-06,324.7,electronics,0
2026-08-06,62.36,electronics,0
2026-08-06,57.01,GROCERY,0
2026-08-06,132.13,travel ,0
2026-08-06,62.76,dining,1
2026-08-06,143.06,dining,0
2026-08-06,27.06,Dining,1
2026-08-06,130.96,grocery,0
2026-08-06,466.04,dining,0
2026-08-06,267.93,entertainment,0
2026-08-06,122.44,electronics,0
2026-08-06,239.42,utilities,0
2026-08-06,322.82,entertainment,0
2026-08-06,230.47,entertainment,0
2026-08-06,85.19,GROCERY,0
2026-08-06,228.08,grocery,0
2026-08-06,58.77,grocery,0
2026-08-06,56.79,grocery,1
2026-08-06,51.57,GROCERY,0
2026-08-06,53.5,entertainment,0
2026-08-06,337.85,entertainment,0
2026-08-06,77.43,electronics,0
2026-08-06,20.57,dining,0
2026-08-06,250.13,travel ,0
2026-08-06,50.97,entertainment,0
2026-08-06,71.13,GROCERY,0
2026-08-06,319.7,entertainment,0
2026-08-06,188.14,grocery,0
2026-08-06,139.31,grocery,0
2026-08-06,121.9,travel ,0
2026-08-06,330.81,grocery,0
2026-08-06,123.78,entertainment,0
2026-08-06,56.34,travel ,0
2026-08-06,94.33,entertainment,0
2026-08-06,278.32,electronics,0
2026-08-06,138.05,travel ,0
2026-08-06,68.52,GROCERY,0
2026-08-06,135.25,entertainment,0
2026-08-06,116.47,Dining,0
2026-08-06,126.36,entertainment,0
2026-08-06,40.53,entertainment,0
2026-08-06,75.42,dining,0
2026-08-06,59.71,GROCERY,0
2026-08-06,51.03,utilities,0
2026-08-06,30.44,GROCERY,0
2026-08-06,117.92,travel ,0
2026-08-06,68.27,entertainment,0
2026-08-06,199.49,dining,0
2026-08-06,251.8,Travel,0
2026-08-06,50.57,GROCERY,0
2026-08-06,304.7,GROCERY,0
2026-08-06,94.93,entertainment,0
2026-08-06,169.01,entertainment,0
2026-08-06,154.08,travel ,0
2026-08-06,64.32,travel ,0
2026-08-06,179.49,electronics,0
2026-08-06,N/A,entertainment,0
2026-08-06,103.35,dining,0
2026-08-06,156.04,Dining,1
2026-08-06,175.45,Dining,0
2026-08-06,97.52,grocery,1
2026-08-06,42.27,entertainment,0
2026-08-06,144.68,travel ,1
2026-08-06,155.91,electronics,0
2026-08-06,204.93,Travel,0
2026-08-06,137.93,Dining,0
2026-08-06,141.22,utilities,0
2026-08-06,36.81,grocery,0
2026-08-06,60.54,Travel,0
2026-08-06,305.24,entertainment,0
2026-08-06,57.73,GROCERY,0
2026-08-06,28.59,travel ,0
2026-08-06,114.99,Dining,0
2026-08-06,242.5,entertainment,0
2026-08-06,N/A,entertainment,0
2026-08-06,22.83,dining,0
2026-08-06,57.45,electronics,1
2026-08-06,215.06,grocery,0
2026-08-06,34.52,Travel,0
2026-08-06,242.21,dining,0
2026-08-06,116.54,Travel,0
2026-08-06,149.64,Dining,0
2026-08-06,198.8,grocery,1
2026-08-06,153.94,utilities,1
2026-08-06,98.73,Dining,0
2026-08-06,53.71,electronics,0
2026-08-06,8.63,Dining,0
2026-08-06,103.51,dining,0
2026-08-06,38.56,GROCERY,0
2026-08-06,260.33,electronics,0
2026-08-06,41.36,grocery,1
2026-08-06,17.6,Travel,0
2026-08-06,273.21,dining,0
2026-08-06,45.09,GROCERY,0
2026-08-06,63.08,GROCERY,0
2026-08-06,73.89,electronics,0
2026-08-06,268.93,Travel,0
2026-08-06,151.71,utilities,0
2026-08-06,213.59,Travel,0
2026-08-06,102.23,travel ,0
2026-08-06,278.94,GROCERY,0
2026-08-06,175.8,travel ,0
2026-08-06,32.88,Travel,0
2026-08-06,165.57,grocery,0
2026-08-06,73.43,utilities,0
2026-08-06,170.55,electronics,0
2026-08-06,117.52,entertainment,0
2026-08-06,66.42,utilities,0
2026-08-06,102.83,electronics,0
2026-08-06,146.97,entertainment,0
2026-08-06,279.95,Travel,0
2026-08-06,54.11,dining,0
2026-08-06,73.59,entertainment,0
2026-08-06,34.16,electronics,1
2026-08-06,187.08,electronics,0
2026-08-06,30.97,Travel,0
2026-08-06,187.53,entertainment,0
2026-08-06,31.51,Travel,0
2026-08-06,126.54,electronics,0
2026-08-06,80.77,entertainment,0
2026-08-06,206.08,GROCERY,0
2026-08-06,19.71,Dining,0
2026-08-06,22.46,travel ,0
2026-08-06,80.7,dining,0
2026-08-06,147.76,electronics,0
2026-08-06,258.09,grocery,0
2026-08-06,426.55,electronics,0
2026-08-06,150.33,grocery,0
2026-08-06,293.44,dining,0
2026-08-06,60.77,dining,0
2026-08-06,269.97,travel ,0
2026-08-06,93.48,entertainment,0
2026-08-06,56.27,electronics,0
2026-08-06,107.08,grocery,0
2026-08-06,65.94,Dining,0
2026-08-06,36.75,electronics,1
2026-08-06,316.93,utilities,0
2026-08-06,32.46,entertainment,1
2026-08-06,25.48,travel ,0
2026-08-06,46.0,grocery,0
2026-08-06,27.23,entertainment,0
2026-08-06,54.64,Travel,0
2026-08-06,108.18,GROCERY,0
2026-08-06,136.17,GROCERY,0
2026-08-06,23.03,entertainment,0
2026-08-06,198.5,entertainment,0
2026-08-06,3.71,entertainment,0
2026-08-06,76.57,grocery,0
2026-08-06,106.34,Dining,0
2026-08-06,49.46,GROCERY,0
2026-08-06,N/A,Travel,0
2026-08-06,228.53,grocery,0
2026-08-06,338.33,Travel,0
2026-08-06,56.05,entertainment,0
2026-08-06,76.23,Dining,0
2026-08-06,185.37,Dining,0
2026-08-06,128.13,GROCERY,0
2026-08-06,140.54,GROCERY,0
2026-08-06,78.13,travel ,0
2026-08-06,231.44,Dining,0
2026-08-06,29.78,entertainment,0
2026-08-06,103.1,utilities,0
2026-08-06,55.38,electronics,0
2026-08-06,474.26,utilities,0
2026-08-06,192.36,Travel,0
2026-08-06,83.91,utilities,0
2026-08-06,146.16,Dining,0
2026-08-06,265.04,grocery,1
2026-08-06,52.19,Travel,0
2026-08-06,384.85,Dining,0
2026-08-06,127.35,Dining,0
2026-08-06,132.28,entertainment,0
2026-08-06,17.27,Travel,0
2026-08-06,14.66,dining,0
2026-08-06,33.88,grocery,0
2026-08-06,97.85,Travel,0
2026-08-06,48.77,electronics,0
2026-08-06,324.72,entertainment,0
2026-08-06,98.74,GROCERY,0
2026-08-06,41.8,electronics,0
2026-08-06,55.36,GROCERY,0
2026-08-06,95.14,utilities,0
2026-08-06,130.77,entertainment,0
2026-08-06,275.63,utilities,0
2026-08-06,55.56,dining,0
2026-08-06,113.9,Dining,0
2026-08-06,116.63,entertainment,0
2026-08-06,122.35,electronics,0
2026-08-06,76.87,Dining,0
2026-08-06,45.63,electronics,0
2026-08-06,N/A,Dining,0
2026-08-06,126.78,GROCERY,0
2026-08-06,88.37,GROCERY,0
2026-08-06,432.69,GROCERY,0
2026-08-06,180.69,electronics,0
2026-08-06,188.9,Travel,0
2026-08-06,352.13,Travel,0
2026-08-06,14.65,electronics,0
2026-08-06,251.31,GROCERY,0
2026-08-06,278.97,electronics,0
2026-08-06,69.49,Travel,0
2026-08-06,119.97,GROCERY,1
2026-08-06,226.29,grocery,0
2026-08-06,29.6,Travel,0
2026-08-06,523.63,electronics,0
2026-08-06,23.14,GROCERY,0
2026-08-06,270.47,travel ,0
2026-08-06,189.45,GROCERY,0
2026-08-06,86.87,entertainment,0
2026-08-06,108.9,utilities,0
2026-08-06,92.66,utilities,0
2026-08-06,43.84,electronics,0
2026-08-06,101.7,travel ,0
2026-08-06,386.38,Dining,0
2026-08-06,40.36,travel ,0
2026-08-06,167.77,electronics,0
2026-08-06,137.74,entertainment,0
2026-08-06,54.94,Dining,0
2026-08-06,206.06,Dining,0
2026-08-06,36.23,Dining,0
2026-08-06,238.58,utilities,0
2026-08-06,160.99,dining,0
2026-08-06,101.42,Travel,0
2026-08-06,348.81,utilities,0
2026-08-06,152.14,Dining,0
2026-08-06,28.9,Travel,0
2026-08-06,154.6,entertainment,0
2026-08-06,92.78,entertainment,0
2026-08-06,104.7,GROCERY,0
2026-08-06,50.56,utilities,0
2026-08-06,145.68,electronics,0
2026-08-06,169.27,Travel,0
2026-08-06,122.4,electronics,0
2026-08-06,63.76,utilities,0
2026-08-06,131.2,travel ,0
2026-08-06,172.61,Travel,0
2026-08-06,167.33,travel ,0
2026-08-06,40.19,travel ,0
2026-08-06,476.84,travel ,0
2026-08-06,92.31,electronics,0
2026-08-06,76.17,travel ,0
2026-08-06,110.83,grocery,0
2026-08-06,58.88,Dining,0
2026-08-06,109.15,travel ,0
2026-08-06,90.53,utilities,0
2026-08-06,117.32,electronics,0
2026-08-06,292.99,electronics,0
2026-08-06,231.34,entertainment,0
2026-08-06,189.81,Travel,0
2026-08-06,131.6,travel ,0
2026-08-06,62.55,entertainment,0
2026-08-06,199.77,Travel,0
2026-08-06,319.07,GROCERY,0
2026-08-06,179.11,electronics,0
2026-08-06,392.71,grocery,0
2026-08-06,58.75,utilities,0
2026-08-06,60.81,grocery,0
2026-08-06,281.05,electronics,0
2026-08-06,244.43,entertainment,0
2026-08-06,59.04,utilities,1
2026-08-06,12.13,electronics,0
2026-08-06,10.06,entertainment,0
2026-08-06,549.27,Travel,0
2026-08-06,240.32,grocery,0
2026-08-06,64.75,Dining,0
2026-08-06,148.63,GROCERY,0
2026-08-06,23.1,Dining,0
2026-08-06,94.15,dining,0
2026-08-06,340.74,Dining,0
2026-08-06,153.16,Dining,0
2026-08-06,87.62,Travel,0
2026-08-06,72.03,grocery,0
2026-08-06,68.32,utilities,0
2026-08-06,75.35,Travel,0
2026-08-06,193.71,entertainment,0
2026-08-06,65.06,Dining,0
2026-08-06,114.26,Travel,0
2026-08-06,74.03,travel ,0
2026-08-06,53.19,travel ,0
2026-08-06,53.78,GROCERY,0
